31/07/2019,00:00:00,
S=ADXL355 Tacc=24.23 Tint=29.81 Vbat=4.323 VCCIO=3.303 VCCCORE=1.219 LED=0
HEARTBEAT
31/07/2019,00:05:56,
S=ADXL355 C=53 F=125.00
57.8560,576.0000,16389.7598
50.5600,577.5360,16392.1289
45.1200,576.8960,16387.6484
47.3600,577.0240,16394.8809
52.1600,574.0800,16405.8242
54.2080,572.0960,16400.1914
55.1680,573.3760,16397.1191
51.2000,574.7840,16390.5273
47.2320,576.7040,16388.0957
49.2800,578.3680,16391.4883
52.4160,578.9440,16393.4727
51.5200,572.4800,16396.4160
53.8240,573.0560,16400.4473
52.0960,568.7040,16393.9844
50.6880,573.1200,16382.3359
50.6240,576.1280,16391.8711
51.7760,580.6720,16392.8320
54.8480,584.1920,16395.0723
57.2160,584.6400,16395.1992
53.3120,578.0480,16403.1992
50.1120,569.6640,16409.6641
43.3280,565.0560,16396.5449
41.9200,564.2240,16382.5918
46.5920,566.4000,16377.3438
53.6320,572.2880,16378.4961
56.7040,574.4000,16389.9512
55.1680,583.8720,16402.5605
57.4720,590.7200,16410.5605
57.9840,590.0800,16408.1289
57.9200,591.6800,16404.8633
58.4960,582.3360,16404.5449
51.9040,571.5200,16397.5684
41.9840,556.9280,16388.7363
40.3840,555.3280,16374.2080
37.0560,557.1840,16373.4404
43.5840,567.3600,16379.3916
50.7520,574.1440,16392.7031
57.2160,584.7040,16401.8555
60.7360,593.2160,16415.8711
67.5200,593.4720,16412.6074
62.6560,590.2080,16405.1191
57.3440,581.2480,16394.8809
51.3920,570.8160,16387.7754
46.9120,564.9280,16385.5352
40.9600,561.6000,16384.0000
43.1360,566.5920,16385.2793
43.1360,570.6240,16384.2559
46.2720,576.3840,16388.2871
53.1200,582.0800,16402.1758
56.4480,584.8320,16409.6641
55.2960,584.7680,16403.6484
57.0240,579.5200,16394.6230
55.8720,578.1120,16388.9277
55.0400,573.5040,16387.9688
50.0480,572.2240,16383.4238
44.9280,573.6320,16392.3848
48.4480,574.2720,16399.6797
46.9120,572.9920,16406.5273
49.8560,575.4240,16399.9355
52.9280,578.1760,16395.1992
