30/07/2019,23:00:00,
S=ADXL355 Tacc=24.34 Tint=28.32 Vbat=4.329 VCCIO=3.310 VCCCORE=1.226 LED=0
HEARTBEAT
30/07/2019,23:58:22,
S=ADXL355 C=53 F=125.00
51.5840,566.3360,16407.5527
54.9760,557.5680,16385.0234
55.9360,554.6240,16364.9277
47.8720,562.5600,16355.9043
40.8320,577.1520,16376.1279
39.3600,587.3280,16398.2070
48.6400,591.0400,16421.8242
59.6480,593.9840,16428.6074
67.1360,584.1280,16418.1758
66.7520,577.0880,16400.0000
58.3680,570.8800,16382.9756
49.2800,565.6320,16365.8242
40.9600,562.0480,16362.1123
38.8480,566.4000,16368.1924
45.3120,571.0080,16391.5527
45.0560,574.1440,16417.2793
52.6080,574.6560,16428.6074
62.4000,577.8560,16419.3926
65.5360,582.9760,16399.5527
58.5600,593.1520,16374.0156
46.5280,590.3360,16364.8643
40.3200,587.1360,16387.7129
43.5840,575.1040,16412.6719
53.0560,554.1120,16415.1035
59.5840,550.1440,16397.3770
62.6560,554.1120,16376.8965
54.2080,572.4160,16371.0078
45.3120,580.5440,16376.8965
40.0000,589.8240,16389.5039
43.8400,592.4480,16407.5527
48.4480,590.2720,16419.3281
56.1920,585.4720,16413.7598
63.8080,575.4240,16403.5195
63.1680,561.8560,16391.3594
54.7200,560.1920,16369.6641
42.5600,564.8640,16363.7119
38.4640,579.9040,16381.5684
43.9040,588.6080,16397.8887
53.6960,585.6000,16416.0645
56.5760,582.0800,16413.3125
58.7520,573.6960,16406.3359
58.3040,572.4160,16400.4473
51.9680,576.0640,16379.4561
45.9520,577.1520,16377.6641
37.5040,575.2320,16384.3848
38.7840,567.2960,16380.2236
44.6720,559.6160,16377.3438
62.0800,558.2720,16396.3516
70.7200,568.0000,16404.4160
61.4400,593.1520,16418.1113
41.6000,609.9840,16409.4727
31.8720,607.3600,16389.8242
38.2720,595.9040,16394.3047
54.1440,577.1520,16406.0156
69.6960,559.9360,16420.4160
71.3600,545.9840,16394.3047
58.8160,536.7040,16342.0156
47.1680,549.1200,16331.8398
41.0880,577.5360,16373.3115
40.3200,600.1920,16417.4082
46.9760,603.3280,16443.9688
53.5680,589.9520,16426.3047
59.0720,583.6160,16415.7441
58.1120,579.1360,16400.0000
50.5600,572.9920,16381.5684
47.0400,572.8640,16380.7998
43.3280,563.3280,16372.9277
47.8720,557.8240,16374.5283
56.8960,564.2240,16385.8555
62.6560,569.1520,16388.2871
63.6800,576.4480,16395.5195
59.3920,580.7360,16406.0801
47.2960,584.5760,16413.5684
37.3760,594.4320,16420.9922
36.4160,584.9600,16401.9844
45.5680,572.2240,16383.5518
55.4240,567.0400,16374.4004
60.4800,562.9440,16376.9600
63.2960,573.8240,16386.8164
54.8480,578.6880,16390.4004
47.8080,577.0240,16394.4316
43.7760,578.5600,16407.1680
49.2160,577.0880,16419.8398
53.0560,579.9680,16416.6406
52.0320,575.2960,16392.6406
50.3680,570.1760,16377.3438
48.0640,565.9520,16369.9199
46.1440,564.9920,16372.0322
50.5600,572.2880,16394.4316
52.0320,584.8960,16403.5195
55.4880,590.7200,16424.8320
56.9600,590.6560,16420.0312
52.4800,575.2320,16393.0879
48.0000,569.0880,16375.5518
46.5280,566.8480,16372.9277
48.3200,571.3920,16396.0957
49.9840,572.9920,16406.6562
53.6960,568.1920,16397.2480
55.7440,572.5440,16388.4805
59.3920,578.5600,16379.7764
60.2880,581.4400,16393.3438
51.9680,578.2400,16400.5117
43.1360,573.4400,16397.6328
40.5760,576.3200,16392.1289
41.2160,580.4160,16390.8477
50.9440,589.6960,16407.7441
62.4000,590.5920,16422.9121
65.0880,577.3440,16405.9512
50.8160,566.6560,16375.5518
40.0640,564.4160,16357.2480
46.7840,563.5840,16376.0000
52.0960,563.8400,16400.8965
55.7440,570.1120,16409.9199
62.6560,581.6960,16406.8477
60.4160,594.2400,16401.3438
51.4560,600.5120,16397.3125
45.6320,591.2320,16399.4238
42.4320,570.6240,16394.1113
40.9600,545.0240,16386.4316
51.2000,540.4800,16374.5918
60.2880,561.2160,16383.4883
60.5440,598.9120,16403.9043
44.6080,610.2400,16403.2637
40.8320,607.1680,16395.3926
43.5840,579.9040,16397.5039
54.2720,566.7200,16404.2246
59.0080,567.6800,16419.3926
63.2960,560.8960,16419.8398
56.3200,561.8560,16392.2559
50.3040,556.3520,16331.1357
45.8880,561.7280,16316.2881
52.9920,577.7280,16369.0879
56.9600,597.0560,16432.7676
55.0400,601.9840,16463.8711
44.7360,599.8080,16455.1680
37.6320,584.0640,16420.9922
38.1440,582.4000,16387.0723
44.8640,565.4400,16368.3838
55.3600,555.7760,16363.9043
61.6960,549.5040,16352.1924
62.9760,550.9760,16359.1680
59.2640,583.6800,16385.5352
53.8880,596.9920,16415.4238
51.5840,598.0800,16432.7031
49.8560,576.5760,16431.8711
49.6640,570.3680,16423.4883
49.0880,573.1840,16397.5039
44.2240,572.0320,16366.0156
44.4800,574.5280,16357.9521
51.9040,579.9040,16372.4805
55.9360,578.4320,16400.1289
55.4880,582.0160,16413.9512
48.4480,573.5040,16401.5996
47.6160,574.4640,16405.0566
52.0960,572.9920,16402.3672
57.3440,576.2560,16403.2637
54.4640,577.0880,16390.7207
50.6880,575.8720,16373.5684
44.0960,573.3760,16364.1602
46.9760,568.7040,16383.4883
49.9840,569.0880,16409.7285
53.4400,573.8880,16412.1602
51.5840,588.6080,16411.8398
49.6000,591.4240,16412.5449
51.1360,584.0000,16395.4551
56.0000,575.4880,16380.2881
49.4720,576.8320,16380.7363
35.7760,578.0480,16403.1992
42.9440,573.3760,16411.3281
59.5200,560.6400,16404.5449
68.4160,561.9200,16389.6953
69.2480,572.0960,16375.2324
61.8880,578.2400,16370.7520
50.1760,574.4000,16374.5283
40.6400,576.0000,16401.0879
43.9040,577.6640,16412.0312
52.0960,581.6320,16409.4727
48.2560,595.5200,16412.2246
41.6000,605.3120,16420.7363
39.3600,591.0400,16427.7129
45.7600,558.9760,16402.5605
47.1680,544.3200,16361.6641
57.2160,539.4560,16324.9277
65.0240,560.8320,16335.2959
72.0000,576.2560,16385.5996
64.3200,601.6640,16437.3125
